label,arm,fh,rows,dispatched_bytes,used_bytes,byte_follow_through,replay_mismatches,mean_abs_gap_blocks,max_abs_gap_blocks,frac_large_gap,mean_read_kib,frac_monotonic,frac_straddle,obj_size,cold_first_run_reads,cold_reentry_reads,cold_net_waste_bytes,cold_gross_waste_bytes
hemco,a,1,4,0,0,NaN,0,0.257324,0.544922,0.000000,74.000,1.000000,0.000000,30230325,4,0,3891200,3891200
hemco,a,47,6,0,0,NaN,0,0.301432,0.578125,0.000000,112.000,1.000000,0.000000,30230325,6,0,5603328,5603328
hemco,a,29,13,0,0,NaN,0,0.193298,0.739746,0.000000,96.500,1.000000,0.000000,30230325,13,0,8278016,8458240
hemco,a,30,4,0,0,NaN,0,0.741699,2.750000,0.250000,100.000,1.000000,0.000000,30230325,4,0,2736128,2867200
hemco,a,31,11,0,0,NaN,0,0.271973,1.171875,0.125000,108.000,1.000000,0.000000,30230325,6,0,4542464,4673536
hemco,a,32,9,0,0,NaN,0,0.324951,1.052734,0.125000,122.000,1.000000,0.000000,30230325,7,0,3325952,3719168
hemco,a,2,8,0,0,NaN,0,0.343079,1.312500,0.125000,117.500,1.000000,0.000000,30230325,3,0,2838528,2838528
hemco,a,6,9,0,0,NaN,0,0.396057,1.676758,0.125000,99.500,1.000000,0.000000,30230325,9,0,6393856,6602752
hemco,a,4,5,0,0,NaN,0,0.509863,1.296875,0.200000,98.400,1.000000,0.000000,30230325,4,0,2772992,2904064
hemco,a,5,4,0,0,NaN,0,0.740234,1.884277,0.250000,68.000,1.000000,0.000000,30230325,4,0,3915776,3915776
hemco,a,33,9,0,0,NaN,0,0.397461,1.171875,0.250000,104.000,1.000000,0.000000,30230325,4,0,3796992,3796992
hemco,a,35,11,0,0,NaN,0,0.218689,1.062500,0.125000,112.500,1.000000,0.000000,30230325,11,0,9029429,9160501
hemco,a,37,6,0,0,NaN,0,0.424072,1.406250,0.166667,110.000,1.000000,0.000000,30230325,6,0,5615616,5615616
hemco,a,46,4,0,0,NaN,0,0.863525,2.234375,0.250000,94.000,1.000000,0.000000,30230325,4,0,3809280,3809280
hemco,a,43,3,0,0,NaN,0,1.088542,2.281250,0.333333,128.000,1.000000,0.000000,30230325,3,0,2752512,2752512
hemco,a,14,7,0,0,NaN,0,0.493304,1.656250,0.142857,128.000,1.000000,0.000000,30230325,3,0,2752512,2752512
hemco,a,17,5,0,0,NaN,0,0.549023,1.254395,0.200000,110.400,1.000000,0.000000,30230325,4,0,3760128,3760128
hemco,a,8,14,0,0,NaN,0,0.149353,0.406250,0.000000,83.000,1.000000,0.000000,30230325,14,0,9113600,9412608
