label,arm,fh,rows,dispatched_bytes,used_bytes,byte_follow_through,replay_mismatches,mean_abs_gap_blocks,max_abs_gap_blocks,frac_large_gap,mean_read_kib,frac_monotonic,frac_straddle,obj_size,cold_first_run_reads,cold_reentry_reads,cold_net_waste_bytes,cold_gross_waste_bytes
met,a,1,3,0,0,NaN,0,0.119792,0.343750,0.000000,128.000,1.000000,0.000000,1217808214,3,0,2752512,2752512
met,a,14,3,0,0,NaN,0,0.151042,0.437500,0.000000,128.000,1.000000,0.000000,1217808214,3,0,1703936,1835008
met,a,29,2,0,0,NaN,0,0.195312,0.343750,0.000000,128.000,1.000000,0.000000,1217808214,2,0,1835008,1835008
met,a,17,2,0,0,NaN,0,0.164062,0.265625,0.000000,100.000,1.000000,0.000000,1217808214,2,0,1892352,1892352
met,a,18,1,0,0,NaN,0,0.078125,0.078125,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,38,1,0,0,NaN,0,0.093750,0.093750,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,2,1,0,0,NaN,0,0.109375,0.109375,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,28,1,0,0,NaN,0,0.125000,0.125000,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,45,1,0,0,NaN,0,0.140625,0.140625,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,8,2,0,0,NaN,0,0.125000,0.156250,0.000000,128.000,1.000000,0.000000,1217808214,2,0,1835008,1835008
met,a,46,1,0,0,NaN,0,0.171875,0.171875,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,33,2,0,0,NaN,0,0.156250,0.187500,0.000000,128.000,1.000000,0.000000,1217808214,2,0,1835008,1835008
met,a,32,1,0,0,NaN,0,0.203125,0.203125,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,9,1,0,0,NaN,0,0.218750,0.218750,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,11,1,0,0,NaN,0,0.234375,0.234375,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,37,1,0,0,NaN,0,0.250000,0.250000,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,40,1,0,0,NaN,0,0.281250,0.281250,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,31,2,0,0,NaN,0,0.242188,0.296875,0.000000,128.000,1.000000,0.000000,1217808214,2,0,1835008,1835008
met,a,34,1,0,0,NaN,0,0.312500,0.312500,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,22,1,0,0,NaN,0,0.352539,0.352539,0.000000,56.000,0.000000,0.000000,1217808214,1,0,991232,991232
met,a,44,2,0,0,NaN,0,0.218750,0.375000,0.000000,128.000,1.000000,0.000000,1217808214,2,0,786432,917504
met,a,3,1,0,0,NaN,0,0.421875,0.421875,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,48,1,0,0,NaN,0,0.437500,0.437500,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,27,1,0,0,NaN,0,0.468750,0.468750,0.000000,128.000,0.000000,0.000000,1217808214,1,0,917504,917504
met,a,49,1,0,0,NaN,0,143.921387,143.921387,1.000000,4.000,0.000000,0.000000,1217808214,1,0,1044480,1044480
met,a,55,1,0,0,NaN,0,143.921875,143.921875,1.000000,4.000,0.000000,0.000000,1217808214,1,0,1044480,1044480
met,a,194,3,0,0,NaN,0,0.043620,0.120605,0.000000,57.333,1.000000,0.000000,708758316,3,0,1921024,1957888
met,a,195,2,0,0,NaN,0,0.193115,0.385254,0.000000,106.000,1.000000,0.000000,708758316,2,0,1880064,1880064
met,a,239,1,0,0,NaN,0,0.015625,0.015625,0.000000,128.000,0.000000,0.000000,708758316,1,0,917504,917504
