backend	file	day	size_MB	op	state	open_s	read_s	s3_MB	distinct_MB	amp	cksum
fsx	A1	02	956.8	slab	cold	8.119	0.020	-	-	-	57a5813b805c0afe
fsx	A1	02	956.8	meta	warm	-	0.03	-	-	-	-
fsx	A1	02	956.8	slab	warm	0.001	0.020	-	-	-	57a5813b805c0afe
lith	A1	02	956.8	slab	cold	0.087	0.129	3.0	2.4	1.3	57a5813b805c0afe
lith	A1	02	956.8	slab	warm	0.001	0.020	0.0	0.0	-	57a5813b805c0afe
lith	A1	02	956.8	meta	cold	-	0.04	1.0	0.2	5.3	-
fsx	A3dyn	02	3564.2	slab	cold	24.374	1.182	-	-	-	122199b0c2d1fee0
fsx	A3dyn	02	3564.2	meta	warm	-	0.01	-	-	-	-
fsx	A3dyn	02	3564.2	slab	warm	0.001	1.118	-	-	-	122199b0c2d1fee0
lith	A3dyn	02	3564.2	slab	cold	0.092	2.805	654.1	110.0	5.9	122199b0c2d1fee0
lith	A3dyn	02	3564.2	slab	warm	0.001	1.115	0.0	0.0	-	122199b0c2d1fee0
lith	A3dyn	02	3564.2	meta	cold	-	0.08	1.0	0.2	5.3	-
fsx	A1	03	954.4	slab	cold	6.650	0.020	-	-	-	5ca4999f68983e63
fsx	A1	03	954.4	meta	warm	-	0.03	-	-	-	-
fsx	A1	03	954.4	slab	warm	0.001	0.020	-	-	-	5ca4999f68983e63
lith	A1	03	954.4	slab	cold	0.070	0.129	3.0	2.4	1.3	5ca4999f68983e63
lith	A1	03	954.4	slab	warm	0.001	0.019	0.0	0.0	-	5ca4999f68983e63
lith	A1	03	954.4	meta	cold	-	0.05	1.0	0.2	5.3	-
fsx	A3dyn	03	3571.9	slab	cold	22.508	1.179	-	-	-	d5ae5bd2016f749f
fsx	A3dyn	03	3571.9	meta	warm	-	0.01	-	-	-	-
fsx	A3dyn	03	3571.9	slab	warm	0.001	1.118	-	-	-	d5ae5bd2016f749f
lith	A3dyn	03	3571.9	slab	cold	0.114	2.545	653.1	110.2	5.9	d5ae5bd2016f749f
lith	A3dyn	03	3571.9	slab	warm	0.001	1.118	0.0	0.0	-	d5ae5bd2016f749f
lith	A3dyn	03	3571.9	meta	cold	-	0.12	1.0	0.2	5.3	-
fsx	A1	04	953.8	slab	cold	6.926	0.019	-	-	-	70a6227e02dc61fb
fsx	A1	04	953.8	meta	warm	-	0.03	-	-	-	-
fsx	A1	04	953.8	slab	warm	0.001	0.019	-	-	-	70a6227e02dc61fb
lith	A1	04	953.8	slab	cold	0.129	0.147	3.0	2.5	1.2	70a6227e02dc61fb
lith	A1	04	953.8	slab	warm	0.001	0.019	0.0	0.0	-	70a6227e02dc61fb
lith	A1	04	953.8	meta	cold	-	0.05	1.0	0.2	5.3	-
fsx	A3dyn	04	3579.4	slab	cold	23.621	1.197	-	-	-	086dfd3af3c96477
fsx	A3dyn	04	3579.4	meta	warm	-	0.01	-	-	-	-
fsx	A3dyn	04	3579.4	slab	warm	0.001	1.120	-	-	-	086dfd3af3c96477
lith	A3dyn	04	3579.4	slab	cold	0.158	2.931	655.1	110.1	5.9	086dfd3af3c96477
lith	A3dyn	04	3579.4	slab	warm	0.001	1.118	0.0	0.0	-	086dfd3af3c96477
lith	A3dyn	04	3579.4	meta	cold	-	0.11	1.0	0.2	5.3	-
