#src	how	bytes	path
extdata	exact	1217808214	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190701.A3dyn.05x0625.nc4
extdata	exact	1213682326	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190702.A3dyn.05x0625.nc4
extdata	fileyear->2014	808299375	/input/HEMCO/GT_Chlorine/v2024-05/GT_Chlorine_01_01_2014_V1.0.0.nc
extdata	exact	708758316	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190701.I3.05x0625.nc4
extdata	exact	708128987	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190702.I3.05x0625.nc4
extdata	exact	423855882	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190701.A3cld.05x0625.nc4
extdata	exact	421021216	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190702.A3cld.05x0625.nc4
extdata	exact	398461341	/input/HEMCO/OCEAN_O3_DRYDEP/v2020-02/Oi_prj_predicted_iodide_0.125x0.125_No_Skagerrak_Just_Ensemble.nc
extdata	exact	379478324	/input/HEMCO/SOILNOX/v2014-07/soilNOx.fert_res.generic.05x05.time_corrected_for_GCHP.nc
extdata	exact	301740437	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190701.A1.05x0625.nc4
extdata	exact	301428925	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190702.A1.05x0625.nc4
extdata	exact	297133760	/input/HEMCO/CEDS/v2024-06/2019/CEDS_NH3_0.1x0.1_2019.nc
hemco	exact	296792006	/input/HEMCO/GFAS/v2018-09/2019/GFAS_201907.nc
extdata	exact	295977088	/input/HEMCO/CEDS/v2024-06/2019/CEDS_TOLU_0.1x0.1_2019.nc
extdata	exact	295976487	/input/HEMCO/CEDS/v2024-06/2019/CEDS_ALK4_hexanes_0.1x0.1_2019.nc
extdata	exact	295549766	/input/HEMCO/CEDS/v2024-06/2019/CEDS_XYLE_0.1x0.1_2019.nc
extdata	exact	292880038	/input/HEMCO/CEDS/v2024-06/2019/CEDS_NO_0.1x0.1_2019.nc
extdata	exact	284774082	/input/HEMCO/NEI2005/v2023-02/NEI99.dow.geos.1x1.corrected.012023.nc
extdata	exact	274708820	/input/HEMCO/CEDS/v2024-06/2019/CEDS_C2H4_0.1x0.1_2019.nc
hemco	exact	272077155	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.NH3.SOL.0.1x0.1.nc
hemco	exact	271539322	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.NOx.AGR.0.1x0.1.nc
hemco	exact	266342322	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.NH3.AGR.0.1x0.1.nc
extdata	exact	264450589	/input/HEMCO/CEDS/v2024-06/2019/CEDS_BENZ_0.1x0.1_2019.nc
extdata	exact	260485429	/input/HEMCO/CEDS/v2024-06/2019/CEDS_PRPE_0.1x0.1_2019.nc
extdata	exact	259688793	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190701.A3mstC.05x0625.nc4
extdata	exact	259389727	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190702.A3mstC.05x0625.nc4
extdata	exact	256876974	/input/HEMCO/CEDS/v2024-06/2019/CEDS_C2H2_0.1x0.1_2019.nc
extdata	exact	238320000	/input/HEMCO/CEDS/v2024-06/2019/CEDS_MEK_0.1x0.1_2019.nc
extdata	exact	226997141	/input/HEMCO/CEDS/v2024-06/2019/CEDS_CO_0.1x0.1_2019.nc
extdata	exact	226928229	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190702.A3mstE.05x0625.nc4
extdata	exact	226859495	/input/GEOS_0.5x0.625/MERRA2/2019/07/MERRA2.20190701.A3mstE.05x0625.nc4
extdata	exact	226154187	/input/HEMCO/CEDS/v2024-06/2019/CEDS_BC_0.1x0.1_2019.nc
extdata	exact	225783280	/input/HEMCO/CEDS/v2024-06/2019/CEDS_SO2_0.1x0.1_2019.nc
extdata	exact	225760138	/input/HEMCO/CEDS/v2024-06/2019/CEDS_OC_0.1x0.1_2019.nc
hemco	exact	224234687	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.OC.RCO.0.1x0.1.nc
extdata	exact	217365014	/input/HEMCO/CEDS/v2024-06/2019/CEDS_ALK4_butanes_0.1x0.1_2019.nc
