label,fh,rows,dispatched_bytes,used_bytes,byte_follow_through,replay_mismatches,mean_abs_gap_blocks,max_abs_gap_blocks,frac_large_gap,mean_read_kib,frac_monotonic,frac_straddle,cold_small_reads,cold_small_read_waste_bytes
streamA,1,193,1887436800,8519680,0.004514,0,0.001953,0.015625,0.000000,128.000,1.000000,0.000000,65,59637760
streamA,2,24,0,0,NaN,0,0.376953,3.015625,0.125000,128.000,1.000000,0.000000,24,22020096
streamA,3,24,0,0,NaN,0,0.423828,3.390625,0.125000,128.000,1.000000,0.000000,24,22020096
streamA,4,24,1870659584,0,0.000000,0,0.470703,3.765625,0.125000,128.000,1.000000,0.000000,16,14680064
streamA,5,24,0,0,NaN,0,0.517578,4.140625,0.125000,128.000,1.000000,0.000000,24,22020096
streamA,6,24,0,0,NaN,0,0.564453,4.515625,0.125000,128.000,1.000000,0.000000,24,22020096
streamA,7,24,1870659584,0,0.000000,0,0.611328,4.890625,0.125000,128.000,1.000000,0.000000,8,7340032
streamA,8,24,0,0,NaN,0,0.658203,5.265625,0.125000,128.000,1.000000,0.000000,24,22020096
streamA,9,24,1870659584,0,0.000000,0,0.705078,5.640625,0.125000,128.000,1.000000,0.000000,24,22020096
streamA,10,24,0,0,NaN,0,0.751953,6.015625,0.125000,128.000,1.000000,0.000000,24,22020096
streamA,11,24,0,0,NaN,0,0.798828,6.390625,0.125000,128.000,1.000000,0.000000,24,22020096
streamA,12,24,1870659584,0,0.000000,0,0.845703,6.765625,0.125000,128.000,1.000000,0.000000,16,14680064
scatterA,1,48,0,0,NaN,0,0.760742,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterA,2,48,0,0,NaN,0,0.762695,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterA,3,48,0,0,NaN,0,0.764648,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterA,4,48,0,0,NaN,0,0.766602,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterA,5,48,0,0,NaN,0,0.768555,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterA,6,48,0,0,NaN,0,0.770508,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterA,7,48,0,0,NaN,0,0.772461,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterA,8,48,0,0,NaN,0,0.774414,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterA,9,48,0,0,NaN,0,0.776367,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterA,10,48,0,0,NaN,0,0.778320,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterA,11,48,0,0,NaN,0,0.780273,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterA,12,48,0,0,NaN,0,0.782227,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
streamB,1,193,1887436800,8519680,0.004514,0,0.000000,0.000000,0.000000,128.000,1.000000,0.000000,65,59637760
streamB,2,24,0,0,NaN,0,0.376953,3.015625,0.125000,128.000,1.000000,0.000000,24,22020096
streamB,3,24,0,0,NaN,0,0.423828,3.390625,0.125000,128.000,1.000000,0.000000,24,22020096
streamB,4,24,1870659584,0,0.000000,0,0.470703,3.765625,0.125000,128.000,1.000000,0.000000,16,14680064
streamB,5,24,0,0,NaN,0,0.517578,4.140625,0.125000,128.000,1.000000,0.000000,24,22020096
streamB,6,24,0,0,NaN,0,0.564453,4.515625,0.125000,128.000,1.000000,0.000000,24,22020096
streamB,7,24,1870659584,0,0.000000,0,0.611328,4.890625,0.125000,128.000,1.000000,0.000000,8,7340032
streamB,8,24,0,0,NaN,0,0.658203,5.265625,0.125000,128.000,1.000000,0.000000,24,22020096
streamB,9,24,1870659584,0,0.000000,0,0.705078,5.640625,0.125000,128.000,1.000000,0.000000,24,22020096
streamB,10,24,0,0,NaN,0,0.751953,6.015625,0.125000,128.000,1.000000,0.000000,24,22020096
streamB,11,24,0,0,NaN,0,0.798828,6.390625,0.125000,128.000,1.000000,0.000000,24,22020096
streamB,12,24,1870659584,0,0.000000,0,0.845703,6.765625,0.125000,128.000,1.000000,0.000000,16,14680064
scatterB,1,48,0,0,NaN,0,0.760742,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterB,2,48,0,0,NaN,0,0.762695,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterB,3,48,0,0,NaN,0,0.764648,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterB,4,48,0,0,NaN,0,0.766602,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterB,5,48,0,0,NaN,0,0.768555,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterB,6,48,0,0,NaN,0,0.770508,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterB,7,48,0,0,NaN,0,0.772461,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterB,8,48,0,0,NaN,0,0.774414,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterB,9,48,0,0,NaN,0,0.776367,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterB,10,48,0,0,NaN,0,0.778320,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterB,11,48,0,0,NaN,0,0.780273,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
scatterB,12,48,0,0,NaN,0,0.782227,0.867188,0.000000,64.000,1.000000,0.000000,17,16711680
