label,arm,fh,rows,dispatched_bytes,used_bytes,byte_follow_through,replay_mismatches,mean_abs_gap_blocks,max_abs_gap_blocks,frac_large_gap,mean_read_kib,frac_monotonic,frac_straddle,obj_size,cold_first_run_reads,cold_reentry_reads,cold_net_waste_bytes,cold_gross_waste_bytes
met,a,1,241,95033055,14811136,0.155852,0,0.000000,0.000000,0.000000,128.000,1.000000,0.000000,111810271,65,0,0,8257536
met,a,2,16,69867231,0,0.000000,0,0.470703,3.765625,0.125000,128.000,1.000000,0.000000,111810271,16,0,1048576,2752512
met,a,3,16,0,0,NaN,0,0.501953,4.015625,0.125000,128.000,1.000000,0.000000,111810271,16,0,1048576,2752512
met,a,4,16,0,0,NaN,0,0.533203,4.265625,0.125000,128.000,1.000000,0.000000,111810271,16,0,1048576,2752512
met,a,5,16,0,0,NaN,0,0.564453,4.515625,0.125000,128.000,1.000000,0.000000,111810271,16,0,1048576,2752512
met,a,6,16,61478623,0,0.000000,0,0.595703,4.765625,0.125000,128.000,1.000000,0.000000,111810271,16,0,1048576,2752512
met,b,1,241,95033055,14811136,0.155852,0,0.000000,0.000000,0.000000,128.000,1.000000,0.000000,111810271,65,0,0,8257536
met,b,2,16,69867231,0,0.000000,0,0.470703,3.765625,0.125000,128.000,1.000000,0.000000,111810271,16,0,1048576,2752512
met,b,3,16,0,0,NaN,0,0.501953,4.015625,0.125000,128.000,1.000000,0.000000,111810271,16,0,1048576,2752512
met,b,4,16,0,0,NaN,0,0.533203,4.265625,0.125000,128.000,1.000000,0.000000,111810271,16,0,1048576,2752512
met,b,5,16,0,0,NaN,0,0.564453,4.515625,0.125000,128.000,1.000000,0.000000,111810271,16,0,1048576,2752512
met,b,6,16,61478623,0,0.000000,0,0.595703,4.765625,0.125000,128.000,1.000000,0.000000,111810271,16,0,1048576,2752512
hemco,a,1,48,0,0,NaN,0,0.760742,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
hemco,a,2,48,0,0,NaN,0,0.762695,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
hemco,a,3,48,0,0,NaN,0,0.764648,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
hemco,a,4,48,0,0,NaN,0,0.766602,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
hemco,a,5,48,0,0,NaN,0,0.768555,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
hemco,a,6,48,0,0,NaN,0,0.770508,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
hemco,b,1,48,0,0,NaN,0,0.760742,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
hemco,b,2,48,0,0,NaN,0,0.762695,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
hemco,b,3,48,0,0,NaN,0,0.764648,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
hemco,b,4,48,0,0,NaN,0,0.766602,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
hemco,b,5,48,0,0,NaN,0,0.768555,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
hemco,b,6,48,0,0,NaN,0,0.770508,0.867188,0.000000,64.000,1.000000,0.000000,111810271,17,0,16711680,16711680
